GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,validation_errors
FL-1102939,Ireland,IRL,Europe,,,,1102939,Green,1,2024-10-05T01:00:00,2024-10-07T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102939&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102939&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102939,"{'type': 'Point', 'coordinates': [-9.4523603, 51.6797696]}",['country_mismatch']
FL-1102966,Cote d'Ivoire,CIV,Africa,Ivory Coast,CIV,Africa,1102966,Green,1,2024-10-03T01:00:00,2024-10-05T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102966&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102966&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102966,"{'type': 'Point', 'coordinates': [-6.5928329, 5.7852673]}",['country_mismatch']
FL-1102933,Bosnia & Herzegovina,BIH,Europe,Bosnia and Herzegovina,BIH,Europe,1102933,Orange,2,2024-10-03T01:00:00,2024-10-05T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102933&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102933&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102933,"{'type': 'Point', 'coordinates': [17.0022251875, 45.11796715]}",['country_mismatch']
FL-1102929,Liberia,LBR,Africa,Ivory Coast,CIV,Africa,1102929,Green,1,2024-10-02T01:00:00,2024-10-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102929&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102929&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102929,"{'type': 'Point', 'coordinates': [-8.3415198, 6.8255347]}",['country_mismatch']
FL-1103025,Indonesia,IDN,Asia,,,,1103025,Green,1,2024-11-17T01:00:00,2025-01-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103025&episodeid=40,https://www.gdacs.org/report.aspx?eventid=1103025&episodeid=40&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103025,"{'type': 'Point', 'coordinates': [116.106938, -8.540897]}",['country_mismatch']
FL-1103020,Bolivia,BOL,South America,Argentina,ARG,South America,1103020,Green,1,2024-11-22T01:00:00,2024-12-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103020&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1103020&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103020,"{'type': 'Point', 'coordinates': [-65.5956943, -22.090727]}",['country_mismatch']
FL-1103024,Tanzania,TZA,Africa,United Republic of Tanzania,TZA,Africa,1103024,Green,1,2024-11-25T01:00:00,2024-11-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103024&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103024&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103024,"{'type': 'Point', 'coordinates': [34.5873141283176, -1.3987869]}",['country_mismatch']
FL-1103019,United States,USA,North America,United States of America,US1,North America,1103019,Green,1,2024-11-20T01:00:00,2024-11-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103019&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103019&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103019,"{'type': 'Point', 'coordinates': [-122.9987407, 38.5020445]}",['country_mismatch']
FL-1103022,Ireland,IRL,Europe,,,,1103022,Green,1,2024-11-22T01:00:00,2024-11-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103022&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103022&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103022,"{'type': 'Point', 'coordinates': [-8.45061682954779, 54.63165225]}",['country_mismatch']
FL-1103014,Türkiye,TUR,Asia,Turkey,TUR,Asia,1103014,Green,1,2024-11-19T01:00:00,2024-11-19T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103014&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103014&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103014,"{'type': 'Point', 'coordinates': [40.7236973, 41.0878328]}",['country_mismatch']
