GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,Continent,Country,ISO3,reason,source,reviewed_by,reviewed_at
FL-1101353,Costa Rica,CRI,North America,Costa Rica,CRI,North America,1101353,Green,1,2022-04-09T01:00:00,2022-04-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101353&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101353&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101353,"{'type': 'Point', 'coordinates': [-83.3394542967262, 10.0971011]}",,,,,,,
FL-1101351,Türkiye,TUR,Asia,Turkey,TUR,Asia,1101351,Green,1,2022-04-09T01:00:00,2022-04-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101351&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101351&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101351,"{'type': 'Point', 'coordinates': [42.9979531, 40.4558435]}",Asia,Türkiye,TUR,typo,WIKI,M.H,TUWIEN
FL-1101349,Philippines,PHL,Asia,Philippines,PHL,Asia,1101349,Orange,2,2022-04-03T01:00:00,2022-04-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101349&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101349&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101349,"{'type': 'Point', 'coordinates': [124.709989019292, 8.40067265]}",,,,,,,
FL-1101373,Colombia,COL,South America,Colombia,COL,South America,1101373,Green,1,2022-04-08T01:00:00,2022-04-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101373&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101373&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101373,"{'type': 'Point', 'coordinates': [-76.878452784791, 0.44932225]}",,,,,,,
FL-1101352,France,FRA,Europe,France,FR1,Europe,1101352,Green,1,2022-04-08T01:00:00,2022-04-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101352&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101352&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101352,"{'type': 'Point', 'coordinates': [6.1623477, 48.793962]}",,,,,,,
FL-1101345,United States,USA,North America,United States of America,US1,North America,1101345,Green,1,2022-04-04T01:00:00,2022-04-09T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101345&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101345&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101345,"{'type': 'Point', 'coordinates': [-74.0190281, 40.9350986]}",North America,United States,USA,typo,WIKI,M.H,TUWIEN
FL-1101339,Ghana,GHA,Africa,Ghana,GHA,Africa,1101339,Green,1,2022-04-02T01:00:00,2022-04-09T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101339&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101339&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101339,"{'type': 'Point', 'coordinates': [-0.2012376, 5.5571096]}",,,,,,,
FL-1101346,Australia,AUS,Oceania,Australia,AU1,Oceania,1101346,Green,1,2022-04-03T01:00:00,2022-04-08T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101346&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101346&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101346,"{'type': 'Point', 'coordinates': [147.2869493, -31.8759835]}",,,,,,,
FL-1101350,Thailand,THA,Asia,Thailand,THA,Asia,1101350,Green,1,2022-04-03T01:00:00,2022-04-07T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101350&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101350&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101350,"{'type': 'Point', 'coordinates': [98.830042, 9.4674663]}",,,,,,,
FL-1101368,Argentina,ARG,South America,Argentina,ARG,South America,1101368,Green,1,2022-04-04T01:00:00,2022-04-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101368&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101368&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101368,"{'type': 'Point', 'coordinates': [-58.6567082, -27.455616]}",,,,,,,
