,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
2072,FL-1101782,NA020M,United States,USA,1101782,Green,1,2022-12-11T01:00:00,2022-12-12T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101782&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101782&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101782,"{'type': 'Point', 'coordinates': [-117.6484304, 34.065846]}"
2073,FL-1101775,EU020M,Croatia,HRV,1101775,Green,1,2022-12-10T01:00:00,2022-12-12T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101775&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101775&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101775,"{'type': 'Point', 'coordinates': [16.7131197, 44.9805039]}"
2074,FL-1101788,AF020M,Morocco,MAR,1101788,Green,1,2022-12-09T01:00:00,2022-12-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101788&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101788&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101788,"{'type': 'Point', 'coordinates': [-5.78241357395313, 35.45732335]}"
2075,FL-1101783,SA020M,Guyana,GUY,1101783,Green,1,2022-12-08T01:00:00,2022-12-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101783&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101783&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101783,"{'type': 'Point', 'coordinates': [-59.8497370496386, 6.18885405]}"
2076,FL-1101776,AS020M,India,IND,1101776,Green,1,2022-12-08T01:00:00,2022-12-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101776&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101776&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101776,"{'type': 'Point', 'coordinates': [80.270186, 13.0836939]}"
2077,FL-1101774,SA020M,Peru,PER,1101774,Green,1,2022-12-02T01:00:00,2022-12-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101774&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101774&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101774,"{'type': 'Point', 'coordinates': [-75.6399763423345, -8.91122115]}"
2078,FL-1101828,AF020M,Mali,MLI,1101828,Green,1,2022-12-02T01:00:00,2022-12-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101828&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101828&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101828,"{'type': 'Point', 'coordinates': [-11.0182482, 12.8294267]}"
2079,FL-1101773,EU020M,France,FRA,1101773,Green,1,2022-12-03T01:00:00,2022-12-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101773&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101773&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101773,"{'type': 'Point', 'coordinates': [9.5069988, 42.444114]}"
2080,FL-1101832,SA020M,Peru,PER,1101832,Green,1,2023-01-16T01:00:00,2023-04-18T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101832&episodeid=26,https://www.gdacs.org/report.aspx?eventid=1101832&episodeid=26&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101832,"{'type': 'Point', 'coordinates': [-76.7554964893225, -11.347645]}"
2081,FL-1101822,SA020M,Brazil,BRA,1101822,Green,1,2023-01-17T01:00:00,2023-02-19T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101822&episodeid=10,https://www.gdacs.org/report.aspx?eventid=1101822&episodeid=10&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101822,"{'type': 'Point', 'coordinates': [-57.883586, -21.698078]}"
